"Code","Heading","V2.1"
"A","The arts",
"AB","The arts: general issues",
"ABA","Theory of art",
"ABC","Conservation, restoration & care of artworks",
"ABK","Forgery, falsification & theft of artworks",
"ABQ","Art: financial aspects",
"AC","History of art / art & design styles",
"ACB","Art styles not defined by date",
"ACBK","Art of indigenous peoples",
"ACBN","Naive art",
"ACBP","Oriental art",
"ACBS","Colonial art",
"ACC","History of art: pre-history",
"ACG","History of art: ancient & classical art,BCE to c 500 CE",
"ACK","History of art: Byzantine & Medieval art c 500 CE to c 1400",
"ACN","History of art & design styles: c 1400 to c 1600",
"ACND","Renaissance art",
"ACNH","Art & design styles: Mannerism",
"ACQ","History of art & design styles: c 1600 to c 1800",
"ACQB","Art & design styles: Baroque",
"ACQH","Art & design styles: Classicism",
"ACV","History of art & design styles: c 1800 to c 1900",
"ACVC","Art & design styles: Romanticism",
"ACVM","Art & design styles: Pre-Raphaelite art",
"ACVN","Art & design styles: Arts & Crafts style",
"ACVT","Art & design styles: Impressionism & Post-Impressionism",
"ACVY","Art & design styles: Art Nouveau",
"ACX","History of art & design styles: from c 1900 -",
"ACXD","Art & design styles: c 1900 to c 1960",
"ACXD1","Art & design styles: Expressionism",
"ACXD2","Art & design styles: Modernist design & Bauhaus",
"ACXD3","Art & design styles: Art Deco",
"ACXD5","Art & design styles: Cubism",
"ACXD7","Art & design styles: Surrealism & Dada",
"ACXD9","Art & design styles: Abstract Expressionism",
"ACXJ","Art & design styles: from c 1960",
"ACXJ1","Art & design styles: Pop art",
"ACXJ4","Art & design styles: Minimalism",
"ACXJ5","Art & design styles: Conceptual art",
"ACXJ8","Art & design styles: Postmodernism",
"AF","Art forms",
"AFC","Painting & paintings",
"AFCC","Watercolours",
"AFCL","Oils",
"AFF","Drawing & drawings",
"AFH","Prints & printmaking",
"AFJ","Other graphic art forms",
"AFJD","Collage & photomontage",
"AFJG","Graffiti & street art",
"AFK","Non-graphic art forms",
"AFKB","Sculpture",
"AFKC","Carvings: artworks",
"AFKG","Precious metal, precious stones & jewellery: artworks & design","Mod"
"AFKN","Installation art",
"AFKP","Performance art",
"AFKV","Electronic, holographic & video art",
"AFP","Ceramic arts, pottery, glass",
"AFPC","Ceramics: artworks",
"AFPM","Mosaics: artworks",
"AFPS","Stained glass: artworks",
"AFT","Decorative arts",
"AFTB","Folk art",
"AFTC","Celtic arts & crafts","New"
"AFW","Textile artworks",
"AFWD","Textile artworks: carpets & rugs",
"AFWH","Textile artworks: tapestries, hangings & quilts",
"AFY","Body art & tattooing",
"AG","Art treatments & subjects",
"AGB","Individual artists, art monographs",
"AGC","Exhibition catalogues & specific collections",
"AGH","Human figures depicted in art",
"AGHF","Portraits in art",
"AGHN","Nudes depicted in art",
"AGHX","Erotic art",
"AGK","Small-scale, secular & domestic scenes in art",
"AGN","Animals & nature in art (still life, landscapes & seascapes, etc)",
"AGNB","Botanical art",
"AGP","Man-made objects depicted in art (cityscapes, machines, etc)",
"AGR","Religious subjects depicted in art",
"AGZ","Art techniques & principles",
"AJ","Photography & photographs",
"AJB","Individual photographers",
"AJC","Photographs: collections",
"AJCP","Photographs: portraits",
"AJCR","Photographic reportage",
"AJCX","Erotic & nude photography",
"AJG","Photographic equipment & techniques",
"AJR","Special kinds of photography",
"AJRD","Cinematography, television camerawork",
"AJRH","Video photography",
"AJRK","Aerial photography",
"AK","Industrial / commercial art & design",
"AKB","Individual designers",
"AKC","Graphic design",
"AKD","Typography & lettering",
"AKH","Book design","New"
"AKL","Illustration & commercial art",
"AKLB","Illustration",
"AKLC","Comic book & cartoon art",
"AKLC1","Graphic novel & Manga artwork",
"AKLP","Poster art",
"AKP","Product design",
"AKR","Furniture design",
"AKT","Fashion & textiles: design",
"AKTA","Fashion design & theory",
"AKTH","History of fashion",
"AKTX","Textile design & theory",
"AM","Architecture",
"AMA","Theory of architecture",
"AMB","Individual architects & architectural firms",
"AMC","Architectural structure & design",
"AMCR","Environmentally-friendly architecture & design",
"AMD","Architecture: professional practice",
"AMG","Public buildings: civic, commercial, industrial, etc",
"AMGC","Concert halls, arenas, stadia",
"AMGD","Memorials, monuments",
"AMK","Residential buildings, domestic buildings",
"AMKD","Houses, apartments, flats, etc",
"AMKH","Palaces, chateaux, country houses",
"AMKL","Castles & fortifications",
"AMN","Religious buildings",
"AMR","Professional interior design",
"AMV","Landscape art & architecture",
"AMVD","City & town planning - architectural aspects",
"AMX","History of architecture",
"AN","Theatre studies",
"ANB","Theatre: individual actors & directors",
"ANC","Acting techniques",
"ANF","Theatre direction & production",
"ANH","Theatre: technical & background skills",
"ANS","Theatre management",
"AP","Film, TV & radio",
"APB","Individual actors & performers",
"APF","Films, cinema",
"APFA","Film theory & criticism",
"APFB","Individual film directors, film-makers",
"APFD","Film scripts & screenplays",
"APFG","Film guides & reviews",
"APFN","Film: styles & genres",
"APFR","Documentary films",
"APFV","Animated films",
"APFX","Film production: technical & background skills",
"APT","Television",
"APTD","Television scripts & screenplays",
"APTS","Television soap operas",
"APTX","Television production: technical & background skills",
"APW","Radio",
"APWD","Radio scripts",
"AS","Dance & other performing arts",
"ASD","Dance",
"ASDC","Choreography",
"ASDL","Ballet",
"ASDR","Ballroom dancing",
"ASDT","Contemporary dance",
"ASDX","Folk dancing",
"ASZ","Other performing arts",
"ASZB","Performing arts: comedy","New"
"ASZC","Mime",
"ASZD","Street theatre",
"ASZG","Conjuring & magic",
"ASZH","Variety shows, music hall, cabaret",
"ASZJ","Juggling",
"ASZM","Puppetry, miniature & toy theatre",
"ASZP","Pageants, parades, festivals",
"ASZW","Circus",
"ASZX","Animal spectacles",
"AV","Music",
"AVA","Theory of music & musicology",
"AVC","Music reviews & criticism",
"AVD","Discographies & buyer's guides",
"AVG","Music: styles & genres",
"AVGC","Western ""classical"" music",
"AVGC1","Early music (up to c 1000 CE)",
"AVGC2","Medieval & Renaissance music (c 1000 to c 1600)",
"AVGC3","Baroque music (c 1600 to c 1750)",
"AVGC4","Classical music (c 1750 to c 1830)",
"AVGC5","Romantic music (c 1830 to c 1900)",
"AVGC6","20th century & contemporary classical music",
"AVGC8","Choral music",
"AVGC9","Opera",
"AVGD","Sacred & religious music",
"AVGE","Non-Western music: traditional & ""classical""",
"AVGF","Light orchestral & big band music",
"AVGG","Brass band, military music & marches",
"AVGH","Folk & traditional music",
"AVGJ","Jazz",
"AVGK","Blues",
"AVGL","Country & Western music",
"AVGM","Musicals",
"AVGN","Popular music, easy listening","Mod"
"AVGP","Rock & Pop music",
"AVGQ","Soul & R 'n' B",
"AVGR","Rap & Hip-Hop",
"AVGS","Reggae",
"AVGT","Heavy Metal music",
"AVGU","Punk, New Wave & Indie",
"AVGV","Electronic music",
"AVGW","World music",
"AVGZ","Ambient & New Age music",
"AVH","Individual composers & musicians, specific bands & groups",
"AVQ","Musical scores, lyrics & libretti",
"AVQS","Songbooks",
"AVR","Musical instruments & instrumental ensembles",
"AVRB","Orchestras",
"AVRD","Chamber ensembles",
"AVRG","Keyboard instruments",
"AVRJ","Percussion instruments",
"AVRL","String instruments",
