"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
1;"1";"1";"NATURWISSENSCHAFTEN";""
2;"101";"101";"Mathematik";""
3;"1010";"1010";"Mathematik";""
4;"101001";"101001";"Algebra";""
4;"101002";"101002";"Analysis";""
4;"101003";"101003";"Angewandte Geometrie";""
4;"101004";"101004";"Biomathematik";""
4;"101005";"101005";"Computeralgebra";""
4;"101006";"101006";"Differentialgeometrie";""
4;"101007";"101007";"Finanzmathematik";""
4;"101008";"101008";"Funktionentheorie";""
4;"101009";"101009";"Geometrie";""
4;"101010";"101010";"Geschichte der Mathematik";""
4;"101011";"101011";"Graphentheorie";""
4;"101012";"101012";"Kombinatorik";""
4;"101013";"101013";"Mathematische Logik";""
4;"101014";"101014";"Numerische Mathematik";""
4;"101015";"101015";"Operations Research";""
4;"101016";"101016";"Optimierung";""
4;"101017";"101017";"Spieltheorie";""
4;"101018";"101018";"Statistik";""
4;"101019";"101019";"Stochastik";""
4;"101020";"101020";"Technische Mathematik";""
4;"101021";"101021";"Theoretische Kybernetik";""
4;"101022";"101022";"Topologie";""
4;"101023";"101023";"Versicherungsmathematik";""
4;"101024";"101024";"Wahrscheinlichkeitstheorie";""
4;"101025";"101025";"Zahlentheorie";""
4;"101026";"101026";"Zeitreihenanalyse";""
4;"101027";"101027";"Dynamische Systeme";""
4;"101028";"101028";"Mathematische Modellierung";""
4;"101029";"101029";"Mathematische Statistik";""
4;"101030";"101030";"Zuverlässigkeitstheorie";""
4;"101031";"101031";"Approximationstheorie";""
4;"101032";"101032";"Funktionalanalysis";""
2;"102";"102";"Informatik";""
3;"1020";"1020";"Informatik";""
4;"102001";"102001";"Artificial Intelligence";""
4;"102002";"102002";"Augmented Reality";""
4;"102003";"102003";"Bildverarbeitung";""
4;"102004";"102004";"Bioinformatik";""
4;"102005";"102005";"Computer Aided Design (CAD)";""
4;"102006";"102006";"Computer Supported Cooperative Work (CSCW)";""
4;"102007";"102007";"Computeranimation";""
4;"102008";"102008";"Computergraphik";""
4;"102009";"102009";"Computersimulation";""
4;"102010";"102010";"Datenbanksysteme";""
4;"102011";"102011";"Formale Sprachen";""
4;"102012";"102012";"Geschichte der Informatik";""
4;"102013";"102013";"Human-Computer Interaction";""
4;"102014";"102014";"Informationsdesign";""
4;"102015";"102015";"Informationssysteme";""
4;"102016";"102016";"IT-Sicherheit";""
4;"102017";"102017";"Kryptologie";""
4;"102018";"102018";"Künstliche Neuronale Netze";""
4;"102019";"102019";"Machine Learning";""
4;"102020";"102020";"Medizinische Informatik";""
4;"102021";"102021";"Pervasive Computing";""
4;"102022";"102022";"Softwareentwicklung";""
4;"102023";"102023";"Supercomputing";""
4;"102024";"102024";"Usability Research";""
4;"102025";"102025";"Verteilte Systeme";""
4;"102026";"102026";"Virtual Reality";""
4;"102027";"102027";"Web Engineering";""
4;"102028";"102028";"Knowledge Engineering";""
4;"102029";"102029";"Praktische Informatik";""
4;"102030";"102030";"Semantische Technologien";""
4;"102031";"102031";"Theoretische Informatik";""
4;"102032";"102032";"Computational Intelligence";""
4;"102033";"102033";"Data Mining";""
4;"102034";"102034";"Cyber-Physical Systems";""
4;"102035";"102035";"Data Science";""
4;"102036";"102036";"Digitale Barrierefreiheit";""
4;"102037";"102037";"Visualisierung";""
2;"103";"103";"Physik, Astronomie";""
3;"1030";"1030";"Physik, Astronomie";""
4;"103001";"103001";"Aerodynamik";""
4;"103002";"103002";"Akustik";""
4;"103003";"103003";"Astronomie";""
4;"103004";"103004";"Astrophysik";""
4;"103005";"103005";"Atomphysik";""
4;"103006";"103006";"Chemische Physik";""
4;"103007";"103007";"Dosimetrie";""
4;"103008";"103008";"Experimentalphysik";""
4;"103009";"103009";"Festkörperphysik";""
4;"103010";"103010";"Geschichte der Physik";""
4;"103011";"103011";"Halbleiterphysik";""
4;"103012";"103012";"Hochenergiephysik";""
4;"103013";"103013";"Ionenphysik";""
4;"103014";"103014";"Kernphysik";""
4;"103015";"103015";"Kondensierte Materie";""
4;"103016";"103016";"Laserphysik";""
