"Ebene";"EDV-Code";"Code";"Titel";"Kurztitel"
1;"1";"1";"NATURAL SCIENCES";""
2;"101";"101";"Mathematics";""
3;"1010";"1010";"Mathematics";""
4;"101001";"101001";"Algebra";""
4;"101002";"101002";"Analysis";""
4;"101003";"101003";"Applied geometry";""
4;"101004";"101004";"Biomathematics";""
4;"101005";"101005";"Computer algebra";""
4;"101006";"101006";"Differential geometry";""
4;"101007";"101007";"Financial mathematics";""
4;"101008";"101008";"Complex analysis";""
4;"101009";"101009";"Geometry";""
4;"101010";"101010";"History of mathematics";""
4;"101011";"101011";"Graph theory";""
4;"101012";"101012";"Combinatorics";""
4;"101013";"101013";"Mathematical logic";""
4;"101014";"101014";"Numerical mathematics";""
4;"101015";"101015";"Operations research";""
4;"101016";"101016";"Optimisation";""
4;"101017";"101017";"Game theory";""
4;"101018";"101018";"Statistics";""
4;"101019";"101019";"Stochastics";""
4;"101020";"101020";"Technical mathematics";""
4;"101021";"101021";"Theoretical cybernetics";""
4;"101022";"101022";"Topology";""
4;"101023";"101023";"Actuarial mathematics";""
4;"101024";"101024";"Probability theory";""
4;"101025";"101025";"Number theory";""
4;"101026";"101026";"Time series analysis";""
4;"101027";"101027";"Dynamical systems";""
4;"101028";"101028";"Mathematical modelling";""
4;"101029";"101029";"Mathematical statistics";""
4;"101030";"101030";"Reliability theory";""
4;"101031";"101031";"Approximation theory";""
4;"101032";"101032";"Functional analysis";""
2;"102";"102";"Computer Sciences";""
3;"1020";"1020";"Computer Sciences";""
4;"102001";"102001";"Artificial intelligence";""
4;"102002";"102002";"Augmented reality";""
4;"102003";"102003";"Image processing";""
4;"102004";"102004";"Bioinformatics";""
4;"102005";"102005";"Computer aided design (CAD)";""
4;"102006";"102006";"Computer supported cooperative work (CSCW)";""
4;"102007";"102007";"Computer animation";""
4;"102008";"102008";"Computer graphics";""
4;"102009";"102009";"Computer simulation";""
4;"102010";"102010";"Database systems";""
4;"102011";"102011";"Formal languages";""
4;"102012";"102012";"History of computer science";""
4;"102013";"102013";"Human-computer interaction";""
4;"102014";"102014";"Information design";""
4;"102015";"102015";"Information systems";""
4;"102016";"102016";"IT security";""
4;"102017";"102017";"Cryptology";""
4;"102018";"102018";"Artificial neural networks";""
4;"102019";"102019";"Machine learning";""
4;"102020";"102020";"Medical informatics";""
4;"102021";"102021";"Pervasive computing";""
4;"102022";"102022";"Software development";""
4;"102023";"102023";"Supercomputing";""
4;"102024";"102024";"Usability research";""
4;"102025";"102025";"Distributed systems";""
4;"102026";"102026";"Virtual reality";""
4;"102027";"102027";"Web engineering";""
4;"102028";"102028";"Knowledge engineering";""
4;"102029";"102029";"Practical computer science";""
4;"102030";"102030";"Semantic technologies";""
4;"102031";"102031";"Theoretical computer science";""
4;"102032";"102032";"Computational intelligence";""
4;"102033";"102033";"Data mining";""
4;"102034";"102034";"Cyber-physical systems";""
4;"102035";"102035";"Data science";""
4;"102036";"102036";"Digital accessibility";""
4;"102037";"102037";"Visualisation";""
2;"103";"103";"Physics, Astronomy";""
3;"1030";"1030";"Physics, Astronomy";""
4;"103001";"103001";"Aerodynamics";""
4;"103002";"103002";"Acoustics";""
4;"103003";"103003";"Astronomy";""
4;"103004";"103004";"Astrophysics";""
4;"103005";"103005";"Atomic physics";""
4;"103006";"103006";"Chemical physics";""
4;"103007";"103007";"Dosimetry";""
4;"103008";"103008";"Experimental physics";""
4;"103009";"103009";"Solid state physics";""
4;"103010";"103010";"History of physics";""
4;"103011";"103011";"Semiconductor physics";""
4;"103012";"103012";"High energy physics";""
4;"103013";"103013";"Ion physics";""
4;"103014";"103014";"Nuclear physics";""
4;"103015";"103015";"Condensed matter";""
4;"103016";"103016";"Laser physics";""
4;"103017";"103017";"Magnetism";""
4;"103018";"103018";"Materials physics";""
4;"103019";"103019";"Mathematical physics";""
4;"103020";"103020";"Surface physics";""
4;"103021";"103021";"Optics";""
4;"103022";"103022";"Plasma physics";""
4;"103023";"103023";"Polymer physics";""
4;"103024";"103024";"Quantum field theory";""
4;"103025";"103025";"Quantum mechanics";""
4;"103026";"103026";"Quantum optics";""
4;"103027";"103027";"Reactor physics";""
4;"103028";"103028";"Theory of relativity";""
4;"103029";"103029";"Statistical physics";""
4;"103030";"103030";"Radiation physics";""
4;"103031";"103031";"Radiation protection";""
4;"103032";"103032";"Fluid mechanics";""
4;"103033";"103033";"Superconductivity";""
4;"103034";"103034";"Particle physics";""
4;"103035";"103035";"Theoretical mechanics";""
4;"103036";"103036";"Theoretical physics";""
4;"103037";"103037";"Environmental physics";""
4;"103038";"103038";"Space exploration";""
4;"103039";"103039";"Aerosol physics";""
4;"103040";"103040";"Photonics";""
4;"103041";"103041";"Astroparticle physics";""
4;"103042";"103042";"Electron microscopy";""
4;"103043";"103043";"Computational physics";""
4;"103044";"103044";"Cosmology";""
2;"104";"104";"Chemistry";""
3;"1040";"1040";"Chemistry";""
4;"104001";"104001";"General chemistry";""
4;"104002";"104002";"Analytical chemistry";""
4;"104003";"104003";"Inorganic chemistry";""
4;"104004";"104004";"Chemical biology";""
4;"104005";"104005";"Electrochemistry";""
4;"104006";"104006";"Solid state chemistry";""
4;"104007";"104007";"History of chemistry";""
4;"104008";"104008";"Catalysis";""
4;"104009";"104009";"Food chemistry";""
4;"104010";"104010";"Macromolecular chemistry";""
4;"104011";"104011";"Materials chemistry";""
4;"104012";"104012";"Microanalysis";""
4;"104013";"104013";"Natural product chemistry";""
4;"104014";"104014";"Surface chemistry";""
4;"104015";"104015";"Organic chemistry";""
4;"104016";"104016";"Photochemistry";""
4;"104017";"104017";"Physical chemistry";""
4;"104018";"104018";"Polymer chemistry";""
4;"104019";"104019";"Polymer sciences";""
4;"104020";"104020";"Radiochemistry";""
4;"104021";"104021";"Structural chemistry";""
4;"104022";"104022";"Theoretical chemistry";""
4;"104023";"104023";"Environmental chemistry";""
4;"104024";"104024";"X-ray structural analysis";""
4;"104025";"104025";"Single-molecule chemistry";""
4;"104026";"104026";"Spectroscopy";""
4;"104027";"104027";"Computational chemistry";""
2;"105";"105";"Geosciences";""
3;"1051";"1051";"Geology, Mineralogy";""
4;"105101";"105101";"General geology";""
4;"105102";"105102";"General geophysics";""
4;"105103";"105103";"Petroleum geology";""
4;"105104";"105104";"Erosion";""
4;"105105";"105105";"Geochemistry";""
4;"105106";"105106";"Geodynamics";""
4;"105107";"105107";"Geoelectrics";""
4;"105108";"105108";"Geostatistics";""
4;"105109";"105109";"Geothermics";""
4;"105110";"105110";"History of geology";""
4;"105111";"105111";"Gravimetry";""
4;"105112";"105112";"Historical geology";""
4;"105113";"105113";"Crystallography";""
4;"105114";"105114";"Cultural geology";""
4;"105115";"105115";"Magnetics";""
4;"105116";"105116";"Mineralogy";""
4;"105117";"105117";"Palaeobotany";""
4;"105118";"105118";"Palaeontology";""
4;"105119";"105119";"Petrography";""
4;"105120";"105120";"Petrology";""
4;"105121";"105121";"Sedimentology";""
4;"105122";"105122";"Seismic";""
4;"105123";"105123";"Stratigraphy";""
4;"105124";"105124";"Tectonics";""
4;"105125";"105125";"Petrophysics";""
4;"105126";"105126";"Applied geophysics";""
4;"105127";"105127";"Geochronology";""
4;"105128";"105128";"Geomicrobiology";""
3;"1052";"1052";"Meteorology, Climatology";""
4;"105201";"105201";"Aeronomy";""
4;"105202";"105202";"Agricultural meteorology";""
4;"105203";"105203";"Bioclimatology";""
4;"105204";"105204";"Climatology";""
4;"105205";"105205";"Climate change";""
4;"105206";"105206";"Meteorology";""
4;"105207";"105207";"Mountain meteorology";""
4;"105208";"105208";"Atmospheric chemistry";""
3;"1053";"1053";"Hydrology";""
4;"105301";"105301";"Water protection";""
4;"105302";"105302";"Hydrochemistry";""
4;"105303";"105303";"Hydrogeology";""
4;"105304";"105304";"Hydrology";""
4;"105305";"105305";"Hydrometry";""
4;"105306";"105306";"Oceanography";""
4;"105307";"105307";"Water quality";""
4;"105308";"105308";"Water resources";""
3;"1054";"1054";"Physical Geography";""
4;"105401";"105401";"Biogeography";""
4;"105402";"105402";"Soil geography";""
4;"105403";"105403";"Geoinformatics";""
4;"105404";"105404";"Geomorphology";""
4;"105405";"105405";"Geoecology";""
4;"105406";"105406";"History of geography";""
4;"105407";"105407";"Cartography";""
4;"105408";"105408";"Physical geography";""
4;"105409";"105409";"Topography";""
3;"1059";"1059";"Interdisciplinary Geosciences not elsewhere classified";""
4;"105901";"105901";"Glaciology";""
4;"105902";"105902";"Natural hazards";""
4;"105903";"105903";"Speleology";""
4;"105904";"105904";"Environmental research";""
4;"105905";"105905";"Environmental protection";""
4;"105906";"105906";"Environmental geosciences";""
4;"105907";"105907";"Polar research";""
2;"106";"106";"Biology";""
3;"1060";"1060";"Biology";""
4;"106001";"106001";"General biology";""
4;"106002";"106002";"Biochemistry";""
4;"106003";"106003";"Biodiversity research";""
4;"106004";"106004";"Bioethics";""
4;"106005";"106005";"Bioinformatics";""
4;"106006";"106006";"Biophysics";""
4;"106007";"106007";"Biostatistics";""
4;"106008";"106008";"Botany";""
4;"106009";"106009";"Chronobiology";""
4;"106010";"106010";"Developmental biology";""
4;"106011";"106011";"3Rs (replacement, reduction, refinement of animal testing)";""
4;"106012";"106012";"Evolutionary research";""
4;"106013";"106013";"Genetics";""
4;"106014";"106014";"Genomics";""
4;"106015";"106015";"Geobotany";""
4;"106016";"106016";"History of biology";""
4;"106017";"106017";"Glycobiology";""
4;"106018";"106018";"Human biology";""
4;"106019";"106019";"Hydrobiology";""
4;"106020";"106020";"Limnology";""
4;"106021";"106021";"Marine biology";""
4;"106022";"106022";"Microbiology";""
4;"106023";"106023";"Molecular biology";""
4;"106024";"106024";"Mycology";""
4;"106025";"106025";"Neurobiology";""
4;"106026";"106026";"Ecosystem research";""
4;"106027";"106027";"Ecotoxicology";""
4;"106028";"106028";"Plant anatomy";""
4;"106029";"106029";"Plant morphology";""
4;"106030";"106030";"Plant ecology";""
4;"106031";"106031";"Plant physiology";""
4;"106032";"106032";"Photobiology";""
4;"106033";"106033";"Phylogeny";""
4;"106034";"106034";"Phytochemistry";""
4;"106035";"106035";"Phytogeography";""
4;"106036";"106036";"Population genetics";""
4;"106037";"106037";"Proteomics";""
4;"106038";"106038";"Reproductive biology";""
4;"106039";"106039";"Stem cell research";""
4;"106040";"106040";"Radiation biology";""
4;"106041";"106041";"Structural biology";""
4;"106042";"106042";"Systematic botany";""
4;"106043";"106043";"Systematic zoology";""
4;"106044";"106044";"Systems biology";""
4;"106045";"106045";"Theoretical biology";""
4;"106046";"106046";"Animal anatomy";""
4;"106047";"106047";"Animal ecology";""
4;"106048";"106048";"Animal physiology";""
4;"106049";"106049";"Ultrastructure research";""
4;"106050";"106050";"Vegetation science";""
4;"106051";"106051";"Behavioural biology";""
4;"106052";"106052";"Cell biology";""
4;"106053";"106053";"Zoogeography";""
4;"106054";"106054";"Zoology";""
4;"106055";"106055";"Aerobiology";""
4;"106056";"106056";"Biological anthropology";""
4;"106057";"106057";"Metabolomics";""
4;"106058";"106058";"Soil biology";""
4;"106059";"106059";"Microbiome research";""
4;"106060";"106060";"Animal ethics";""
2;"107";"107";"Other Natural Sciences";""
3;"1070";"1070";"Other Natural Sciences";""
4;"107001";"107001";"Archaeometry";""
4;"107002";"107002";"Bionics";""
4;"107003";"107003";"History of natural sciences";""
4;"107004";"107004";"Human ecology";""
4;"107005";"107005";"Food testing";""
4;"107006";"107006";"Nature conservation";""
4;"107007";"107007";"Risk research";""
4;"107008";"107008";"Archaeobotany";""
4;"107009";"107009";"Archaeozoology";""
4;"107010";"107010";"Geoarchaeology";""
1;"2";"2";"TECHNICAL SCIENCES";""
2;"201";"201";"Construction Engineering";""
3;"2011";"2011";"Civil Engineering";""
4;"201101";"201101";"Construction operation";""
4;"201102";"201102";"Structural dynamics";""
4;"201103";"201103";"Building physics";""
4;"201104";"201104";"Structural analysis";""
4;"201105";"201105";"Construction material practice";""
4;"201106";"201106";"Structural engineering";""
4;"201107";"201107";"Endurance strength";""
4;"201108";"201108";"Fracture mechanics";""
4;"201109";"201109";"Bridge construction";""
4;"201110";"201110";"Strength of materials";""
4;"201111";"201111";"River engineering";""
4;"201112";"201112";"Building construction";""
4;"201113";"201113";"Timber engineering";""
4;"201114";"201114";"Industrial building";""
4;"201115";"201115";"Structural hydraulic engineering";""
4;"201116";"201116";"Agricultural civil engineering";""
4;"201117";"201117";"Lightweight design";""
4;"201118";"201118";"Urban water supply and sanitation";""
4;"201119";"201119";"Steel construction";""
4;"201120";"201120";"Reinforced concrete construction";""
4;"201121";"201121";"Road construction";""
4;"201122";"201122";"Technical flood protection";""
4;"201123";"201123";"Underground engineering";""
4;"201124";"201124";"Structural design";""
4;"201125";"201125";"Hydraulic engineering";""
4;"201126";"201126";"Hydropower plant construction";""
4;"201127";"201127";"Torrent and avalanche control";""
4;"201128";"201128";"Sustainable building";""
4;"201129";"201129";"Earthquake engineering";""
4;"201130";"201130";"Structural glass construction";""
4;"201131";"201131";"Building history";""
4;"201132";"201132";"Computational engineering";""
3;"2012";"2012";"Architecture";""
4;"201201";"201201";"History of architecture";""
4;"201202";"201202";"Architectural modelling";""
4;"201203";"201203";"Architectural theory";""
4;"201204";"201204";"Barrier-free building";""
4;"201205";"201205";"Building research";""
4;"201206";"201206";"Designing";""
4;"201207";"201207";"Building typology";""
4;"201208";"201208";"Industrial architecture";""
4;"201209";"201209";"Interior design";""
4;"201210";"201210";"Landscape architecture";""
4;"201211";"201211";"Solar architecture";""
4;"201212";"201212";"Urban design";""
